student_id,test_type,test_date,test_subscore,test_subscore_type,is_test_subscore_numeric,entry_mode,entry_date,test_subscore_numeric,max_test_subscore_rank,min_entry_date_rank,test_subscore_highest,test_subscore_percentile
524569,GRE2011,2016-10-07,148,VERB2011,Y,ELEC,2016-10-24,148.0,1,1,148.0,38
524762,GRE2011,2015-12-23,3.5,ANALYTWRIT,Y,ELEC,2016-01-14,3.5,1,1,3.5,38
524762,GRE2011,2015-12-23,146,QUAN2011,Y,ELEC,2016-01-14,146.0,1,1,146.0,25
524762,GRE2011,2015-12-23,154,VERB2011,Y,ELEC,2016-01-14,154.0,1,1,154.0,63
524794,GRE2011,2018-04-02,3.5,ANALYTWRIT,Y,ELEC,2018-04-20,3.5,1,1,3.5,42
524794,GRE2011,2018-04-02,155,QUAN2011,Y,ELEC,2018-04-20,155.0,1,1,155.0,59
524794,GRE2011,2018-04-02,160,VERB2011,Y,ELEC,2018-04-20,160.0,1,1,160.0,86
524827,GRE2011,2018-11-02,4.5,ANALYTWRIT,Y,ELEC,2018-11-16,4.5,1,1,4.5,82
524827,GRE2011,2018-11-02,145,QUAN2011,Y,ELEC,2018-11-16,145.0,1,1,145.0,20
524827,GRE2011,2018-11-02,160,VERB2011,Y,ELEC,2018-11-16,160.0,1,1,160.0,86
524891,GRE2011,2015-06-30,4.0,ANALYTWRIT,Y,ELEC,2015-07-12,4.0,1,1,4.0,56
524891,GRE2011,2015-06-30,147,QUAN2011,Y,ELEC,2015-07-12,147.0,1,1,147.0,28
524891,GRE2011,2015-06-30,153,VERB2011,Y,ELEC,2015-07-12,153.0,1,1,153.0,59
524949,GRE2011,2018-08-16,4.0,ANALYTWRIT,Y,ELEC,2018-08-31,4.0,1,1,4.0,59
524949,GRE2011,2018-08-16,152,QUAN2011,Y,ELEC,2018-08-31,152.0,1,1,152.0,46
524949,GRE2011,2018-08-16,156,VERB2011,Y,ELEC,2018-08-31,156.0,1,1,156.0,73
524958,GRE2011,2015-12-15,4.0,ANALYTWRIT,Y,ELEC,2016-01-04,4.0,1,1,4.0,56
524958,GRE2011,2015-12-15,150,QUAN2011,Y,ELEC,2016-01-04,150.0,1,1,150.0,40
524958,GRE2011,2015-12-15,158,VERB2011,Y,ELEC,2016-01-04,158.0,1,1,158.0,79
524997,GRE2011,2016-07-02,4.0,ANALYTWRIT,Y,,2016-09-27,4.0,1,1,4.0,59
524997,GRE2011,2016-07-02,146,QUAN2011,Y,,2016-09-27,146.0,1,1,146.0,24
524997,GRE2011,2016-07-02,149,VERB2011,Y,,2016-09-27,149.0,1,1,149.0,42
525021,GRE2011,2015-12-17,4.0,ANALYTWRIT,Y,ELEC,2016-01-04,4.0,1,1,4.0,56
525021,GRE2011,2015-12-17,156,QUAN2011,Y,ELEC,2016-01-04,156.0,1,1,156.0,64
525021,GRE2011,2015-12-17,153,VERB2011,Y,ELEC,2016-01-04,153.0,1,1,153.0,59
525039,GRE2011,2015-12-22,4.0,ANALYTWRIT,Y,PAPR,2016-08-03,4.0,1,1,4.0,56
525039,GRE2011,2015-12-22,153,QUAN2011,Y,PAPR,2016-08-03,153.0,1,1,153.0,52
525039,GRE2011,2015-12-22,154,VERB2011,Y,PAPR,2016-08-03,154.0,1,1,154.0,63
525073,GRE2011,2016-04-12,4.0,ANALYTWRIT,Y,ELEC,2016-05-16,4.0,1,1,4.0,56
525073,GRE2011,2016-04-12,147,QUAN2011,Y,ELEC,2016-05-16,147.0,1,1,147.0,28
525073,GRE2011,2016-04-12,156,VERB2011,Y,ELEC,2016-05-16,156.0,1,1,156.0,71
525105,GRE2011,2016-06-25,3.0,ANALYTWRIT,Y,ELEC,2016-07-12,3.0,1,1,3.0,17
525105,GRE2011,2016-06-25,142,QUAN2011,Y,ELEC,2016-07-12,142.0,1,1,142.0,12
525105,GRE2011,2016-06-25,142,VERB2011,Y,ELEC,2016-07-12,142.0,1,1,142.0,17
525148,GRE2011,2016-06-17,4.0,ANALYTWRIT,Y,ELEC,2016-11-18,4.0,1,1,4.0,56
525148,GRE2011,2016-06-17,150,QUAN2011,Y,ELEC,2016-11-18,150.0,1,1,150.0,40
525148,GRE2011,2016-06-17,156,VERB2011,Y,ELEC,2016-11-18,156.0,1,1,156.0,71
525168,GRE2011,2015-12-01,3.5,ANALYTWRIT,Y,ELEC,2015-12-10,3.5,1,1,3.5,38
525168,GRE2011,2015-12-01,152,QUAN2011,Y,ELEC,2015-12-10,152.0,1,1,152.0,48
525168,GRE2011,2015-12-01,151,VERB2011,Y,ELEC,2015-12-10,151.0,1,1,151.0,50
525189,GRE2011,2016-09-30,3.0,ANALYTWRIT,Y,ELEC,2017-07-20,3.0,1,1,3.0,18
525189,GRE2011,2016-09-30,146,QUAN2011,Y,ELEC,2017-07-20,146.0,1,1,146.0,24
525189,GRE2011,2016-09-30,154,VERB2011,Y,ELEC,2017-07-20,154.0,1,1,154.0,65
525205,GRE2011,2015-05-12,2.0,ANALYTWRIT,Y,ELEC,2015-05-27,2.0,1,1,2.0,2
525205,GRE2011,2015-05-12,139,QUAN2011,Y,ELEC,2015-05-27,139.0,1,1,139.0,6
525205,GRE2011,2015-05-12,149,VERB2011,Y,ELEC,2015-05-27,149.0,1,1,149.0,41
525207,GRE2011,2016-09-17,155,QUAN2011,Y,ELEC,2016-10-07,155.0,1,3,155.0,59
525207,GRE2011,2016-09-17,158,VERB2011,Y,ELEC,2016-10-07,158.0,1,3,158.0,80
525213,GRE2011,2017-03-27,3.5,ANALYTWRIT,Y,ELEC,2017-04-07,3.5,1,2,3.5,42
525213,GRE2011,2015-01-29,154,QUAN2011,Y,ELEC,2015-02-14,154.0,1,1,154.0,56
525213,GRE2011,2017-03-27,159,VERB2011,Y,ELEC,2017-04-07,159.0,1,2,159.0,82
525289,GRE2011,2016-01-28,4.0,ANALYTWRIT,Y,ELEC,2016-02-09,4.0,1,1,4.0,56
525289,GRE2011,2016-01-28,145,QUAN2011,Y,ELEC,2016-02-09,145.0,1,1,145.0,21
525289,GRE2011,2016-01-28,149,VERB2011,Y,ELEC,2016-02-09,149.0,1,1,149.0,41
525327,GRE2011,2018-04-10,4.0,ANALYTWRIT,Y,ELEC,2018-04-26,4.0,1,1,4.0,60
525327,GRE2011,2018-04-10,148,QUAN2011,Y,ELEC,2018-04-26,148.0,1,1,148.0,30
